id,type,level,question_type,text,question,option_1,option_2,option_3,option_4,correct_answer,explanation
1,reading,topik_1,vocabulary_match (31-33),지금은 아침입니다. 여덟 시입니다.,무엇에 대한 이야기입니까?,사람,나이,계절,시간,시간,"The text mentions “morning” and “8 o’clock,” so it is about time. The other options are unrelated to the passage."
2,reading,topik_1,vocabulary_match (31-33),오늘은 집에 있습니다. 쉽니다.,무엇에 대한 이야기입니까?,나라,휴일,쇼핑,직업,휴일,"The text says the person is resting at home today, which suggests a holiday or day off. The other choices do not match the context."
3,reading,topik_1,vocabulary_match (31-33),저는 바지를 좋아합니다. 치마는 안 입습니다.,무엇에 대한 이야기입니까?,옷,값,일,집,옷,"The passage talks about pants and skirts, which are types of clothes. Therefore, the topic is clothing."
4,reading,topik_1,grammar_fill_blank (34-39),저는 ( )에 갑니다. 공부를 합니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,한국,학교,여행사,백화점,학교,"The sentence says “I go to ___ and study,” so “school” is the only logical answer. The other places are not primarily for studying."
5,reading,topik_1,grammar_fill_blank (34-39),전화합니다. 친구와 ( ).,( )에 들어갈 가장 알맞은 것을 고르십시오.,줍니다,줍니다,읽습니다,이야기합니다,이야기합니다,The phrase “talk on the phone with a friend” naturally matches “이야기합니다.” The other verbs do not fit the context.
6,reading,topik_1,grammar_fill_blank (34-39),길에서 은행이 ( ). 길 앞에 있습니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,비슷합니다,가깝습니다,깨끗합니다,시원합니다,가깝습니다,"The second sentence says the bank is “in front of the road,” indicating it is near. Therefore, “가깝습니다” is the best choice."
7,reading,topik_1,grammar_fill_blank (34-39),저는 보통 버스를 탑니다. ( ) 지하철을 탑니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,가끔,빨리,아주,항상,가끔,"The sentence contrasts usual behavior with occasional subway use. “Sometimes” fits naturally, while the other options do not match the meaning."
8,reading,topik_1,grammar_fill_blank (34-39),오늘은 수민의 생일입니다. 저는 수민( ) 선물을 했습니다.,( )에 들어갈 가장 알맞은 것을 고르십시오.,토,폰,에서,에게,에게,The verb “give a present” requires the indirect object marker “에게” for the receiver. The other particles are grammatically incorrect here.
9,reading,topik_1,grammar_fill_blank (34-39),형이 아직 안 왔습니다. 형을 ( ).,( )에 들어갈 가장 알맞은 것을 고르십시오.,합니다,보냅니다,기다립니다,가르칩니다,기다립니다,"Since the older brother has not arrived yet, the speaker is waiting for him. The other verbs do not fit the situation."
10,reading,topik_1,notice_ad_understanding (40-42),축구 동아리 모임• 언제: 매주 금요일 저녁 6시• 어디서: 학교 운동장,다음을 읽고 맞지 않는 것을 고르십시오.,금요일에 합니다.,같이 축구를 합니다.,모임은 오전에 있습니다.,학교 운동장에서 만납니다.,모임은 오전에 있습니다.,"The notice clearly says the meeting is at 6 p.m., which is in the evening, not in the morning. The other statements match the notice."
