id,type,level,keyword,meaning,example_1,translation_1,example_2,translation_2,
1,vocabulary,TOPIK I,가게,store,가게에 가요,I go to the store,이 가게는 커요,This store is big,
2,vocabulary,TOPIK I,가격,price,가격이 비싸요,The price is expensive,가격을 확인해요,I check the price,
3,vocabulary,TOPIK I,가구,furniture,가구를 샀어요,I bought furniture,가구가 많아요,There is a lot of furniture,
4,vocabulary,TOPIK I,가깝다,close,집이 가까워요,The house is close,학교가 가까워요,The school is near,
5,vocabulary,TOPIK I,가끔,sometimes,가끔 운동해요,I sometimes exercise,가끔 영화를 봐요,I sometimes watch movies,
6,vocabulary,TOPIK I,가다,go,학교에 가요,I go to school,친구 집에 가요,I go to my friend's house,
7,vocabulary,TOPIK I,가르치다,teach,학생을 가르쳐요,I teach students,한국어를 가르쳐요,I teach Korean,
8,vocabulary,TOPIK I,가방,bag,가방을 샀어요,I bought a bag,가방이 무거워요,The bag is heavy,
9,vocabulary,TOPIK I,가볍다,light,가방이 가벼워요,The bag is light,이 옷은 가벼워요,These clothes are light,
10,vocabulary,TOPIK I,가수,singer,그는 유명한 가수예요,He is a famous singer,가수가 노래해요,The singer sings,
11,vocabulary,TOPIK I,가슴,chest,가슴이 아파요,My chest hurts,가슴이 두근거려요,My heart is pounding,
12,vocabulary,TOPIK I,가요,song,가요를 들어요,I listen to songs,이 가요가 유명해요,This song is famous,
13,vocabulary,TOPIK I,가운데,middle,길 가운데에 있어요,It is in the middle of the road,사람들 가운데에 있어요,It is among people,
14,vocabulary,TOPIK I,가위,scissors,가위를 사용해요,I use scissors,가위로 종이를 잘라요,I cut paper with scissors,
15,vocabulary,TOPIK I,가을,autumn,가을이 좋아요,I like autumn,가을 날씨가 시원해요,The autumn weather is cool,
16,vocabulary,TOPIK I,가장,most,가장 좋아해요,I like it the most,이게 가장 비싸요,This is the most expensive,
17,vocabulary,TOPIK I,가져가다,take away,음식을 가져가요,I take the food away,책을 집에 가져가요,I take the book home,
18,vocabulary,TOPIK I,가져오다,bring,물을 가져와요,I bring water,친구가 음식을 가져왔어요,My friend brought food,
19,vocabulary,TOPIK I,가족,family,가족이 있어요,I have a family,가족과 살아요,I live with my family,
20,vocabulary,TOPIK I,가지,branch,나무 가지가 길어요,The tree branch is long,가지가 떨어졌어요,A branch fell,
21,vocabulary,TOPIK I,가지다,have,시간이 있어요,I have time,돈을 가지고 있어요,I have money,
22,vocabulary,TOPIK I,각,each,각 사람마다 달라요,It is different for each person,각 방에 있어요,It is in each room,
23,vocabulary,TOPIK I,간,while,공부하는 간에 음악을 들어요,I listen to music while studying,기다리는 간에 책을 읽어요,I read a book while waiting,
24,vocabulary,TOPIK I,간단하다,simple,문제가 간단해요,The problem is simple,설명이 간단해요,The explanation is simple,
25,vocabulary,TOPIK I,간단히,simply,간단히 설명해요,I explain simply,간단히 말해요,I speak simply,
26,vocabulary,TOPIK I,간식,snack,간식을 먹어요,I eat a snack,간식을 샀어요,I bought a snack,
27,vocabulary,TOPIK I,간장,soy sauce,간장을 넣어요,I add soy sauce,간장이 짜요,The soy sauce is salty,
28,vocabulary,TOPIK I,간호사,nurse,간호사가 일해요,The nurse works,간호사를 만났어요,I met a nurse,
29,vocabulary,TOPIK I,갈비,spareribs,갈비를 먹어요,I eat spareribs,갈비가 맛있어요,The ribs are delicious,
30,vocabulary,TOPIK I,갈비탕,spareribs soup,갈비탕을 먹어요,I eat spareribs soup,갈비탕이 뜨거워요,The soup is hot,
31,vocabulary,TOPIK I,갈색,brown,갈색 머리예요,I have brown hair,갈색 가방이에요,It is a brown bag,
32,vocabulary,TOPIK I,갈아타다,transfer,버스를 갈아타요,I transfer buses,지하철을 갈아타요,I transfer the subway,
33,vocabulary,TOPIK I,감,persimmon,감을 먹어요,I eat persimmon,감이 달아요,The persimmon is sweet,
34,vocabulary,TOPIK I,감기,cold,감기에 걸렸어요,I caught a cold,감기가 나았어요,I got over a cold,
35,vocabulary,TOPIK I,감기약,cold medicine,감기약을 먹어요,I take cold medicine,약을 샀어요,I bought medicine,
36,vocabulary,TOPIK I,감다,close eyes,눈을 감아요,I close my eyes,눈을 감고 쉬어요,I rest with my eyes closed,
37,vocabulary,TOPIK I,감동,sensation,감동을 받았어요,I was moved,큰 감동이에요,It is a big impression,
38,vocabulary,TOPIK I,감동하다,be impressed,영화에 감동했어요,I was impressed by the movie,이야기에 감동했어요,I was touched by the story,
39,vocabulary,TOPIK I,감사,thank,감사를 드려요,I give thanks,감사가 필요해요,Thanks are needed,
40,vocabulary,TOPIK I,감사드립니다,thank you,감사드립니다,Thank you,도와주셔서 감사합니다,Thank you for helping,
41,vocabulary,TOPIK I,결과,result,결과가 좋아요,The result is good,결과를 봐요,I check the result,
42,vocabulary,TOPIK I,결정,decision,결정을 했어요,I made a decision,결정이 중요해요,The decision is important,
43,vocabulary,TOPIK I,결정하다,decide,결정했어요,I decided,어디 갈지 결정해요,I decide where to go,
44,vocabulary,TOPIK I,결혼,marriage,결혼을 했어요,I got married,결혼이 중요해요,Marriage is important,
45,vocabulary,TOPIK I,결혼식,wedding ceremony,결혼식에 갔어요,I went to a wedding,결혼식이 커요,The wedding ceremony is big,
46,vocabulary,TOPIK I,결혼하다,get married,결혼했어요,I got married,내년에 결혼해요,I will get married next year,
47,vocabulary,TOPIK I,경기,competition,경기를 봐요,I watch a game,경기가 시작해요,The game starts,
48,vocabulary,TOPIK I,경기장,stadium,경기장에 가요,I go to the stadium,경기장이 커요,The stadium is big,
49,vocabulary,TOPIK I,경찰,police,경찰을 불러요,I call the police,경찰이 왔어요,The police came,
50,vocabulary,TOPIK I,경찰관,police officer,경찰관을 만났어요,I met a police officer,경찰관이 도와줘요,The officer helps,
51,vocabulary,TOPIK I,경찰서,police office,경찰서에 가요,I go to the police station,경찰서가 가까워요,The police station is near,
52,vocabulary,TOPIK I,경치,view,경치가 좋아요,The view is nice,경치를 봐요,I look at the scenery,
53,vocabulary,TOPIK I,경험,experience,경험이 있어요,I have experience,좋은 경험이에요,It is a good experience,
54,vocabulary,TOPIK I,계단,stairs,계단을 올라가요,I go up the stairs,계단이 많아요,There are many stairs,
55,vocabulary,TOPIK I,계란,egg,계란을 먹어요,I eat eggs,계란이 맛있어요,Eggs are delicious,
56,vocabulary,TOPIK I,계산하다,calculate,값을 계산해요,I calculate the price,계산을 해요,I do the calculation,
57,vocabulary,TOPIK I,계속,continue,계속 공부해요,I continue studying,계속 일해요,I keep working,
58,vocabulary,TOPIK I,계시다,be (honorific),선생님이 계세요,The teacher is present,부모님이 집에 계세요,My parents are at home,
59,vocabulary,TOPIK I,계절,season,계절이 바뀌어요,The season changes,어떤 계절을 좋아해요?,What season do you like?,
